1 Nephi,3,7,And it came to pass that I, Nephi, said unto my father I will go and do the things which the Lord hath commanded, for I know that the Lord giveth no commandment unto the children of men save he shall prepare a way for them that they may accomplish the thing which he commandeth them.
2 Nephi,2,25,Adam fell that men might be; and men are, that they might have joy.
Mosiah,2,17,When ye are in the service of your fellow beings ye are only in the service of your God.
Alma,37,6,By small and simple things are great things brought to pass.
Ether,12,27,And if men come unto me I will show unto them their weakness.
Moroni,7,47,But charity is the pure love of Christ, and it endureth forever; and whoso is found possessed of it at the last day, it shall be well with him.
1 Nephi,19,9,And the world, because of their iniquity, shall judge him to be a thing of naught; wherefore they scourge him, and he suffereth it, because of his loving kindness and his long-suffering towards the children of men.
Mosiah,2,9-10,And behold, I tell you these things that ye may learn wisdom; that ye may learn that when ye are in the service of your fellow beings ye are only in the service of your God. And behold, ye will find that in that day, ye will be able to receive the kingdom of God.
Moroni,10,4-5,And when ye shall receive these things, I would exhort you that ye would ask of God, the Eternal Father, in the name of Christ, if these things are not true; and if ye shall ask with a sincere heart, with real intent, having faith in Christ, he will manifest the truth of it unto you, by the power of the Holy Ghost. And by the power of the Holy Ghost ye may know the truth of all things.
